Heads of Capital Expenditure,1990-91 ,1995-96 ,1996-97 ,1997-98 ,1998-99 ,1999-2000 ,2000-01 ,2001-02 ,2002-03 ,2003-04 (RE),2003-04 ,2004-05 (BE),2004-05 (RE),2004-05 ,2005-06 (BE),2005-06 (RE),2005-06 ,2006-07 (BE),2006-07 (RE),2006-07 ,2007-08 (BE),2007-08 (R.E.),2007-08 ,2008-09 (B.E.),2008-09 (R.E.),2008-09 ,2009-10 (B.E.),2009-10 (R.E.),2009-10 ,2010-11 (B.E.),2010-11 (R.E.),2010-11 ,2011-12 (B.E.),2011-12 (R.E.),2011-12 ,2012-13 (B.E.),2012-13 (R.E.),2012-13 ,2013-14 (B.E.),2013-14 (R.E.),2013-14 ,2014-15 (B.E.),2014-15 (R.E.),2014-15,2015-16 (B.E.),2015-16 (R.E.),2015-16,2016-17(B.E.),2016-17 (R.E.),2017-18 (B.E.)
f) Urban development,47.2,193.2,269.29,259.49,145.15,282.46,649.16,498.11,795.05,2537.22,2139.52,1898.41,1962.26,2009.22,3588.3,2908.25,2551.26,2496.78,2362.39,1917.31,3427.2,3637.92,3007.37,4860.57,6177.35,4727.54,7889.19,9051.88,7261.88,8367.85,9280.01,6215.26,13249.35,10898.26,9124.1,16432.61,15418.96,11800,13925.24,12733,8954,14585,11608,9100,15842,14315,11890,19636,18138,23623
g) Broadcasting,105.82,48.12,53.33,49.94,28.31,111.76,15.65,-4250.18,4.02,10.39,9.58,25.25,9.91,9.57,40.19,25.46,25.09,46.31,32,20.38,23.59,12.79,12.01,35.77,22.4,13.5,41.98,40.64,35.58,65.96,83.6,79.18,147.57,120.98,116.85,72.91,49.82,21,30.67,32,22,30,33,30,26,25,22,48,48,30
h) Others,286.59,589.5,799.18,819.05,1101.27,897.7,618.54,1323.21,1676.76,2502.87,1987.27,3054.49,3094.89,2225.5,4037.68,4122.91,2977.03,3794.41,4068.3,3042.64,4829.9,5029.78,3678.55,6109.43,6299.64,4694.98,4943,5932.36,4945.25,6926.98,7668.79,6515.32,9642.88,9125.73,7038.77,13525.18,11925.94,8624,16215.86,15852,11183,22076,19176,13287,21088,19609,12973,27625,26372,30016
4. General Economic Services,731.82,-149.42,-86.14,863.92,77.32,1061.58,1153.98,1645.05,-60.73,4226.93,440.73,8556.21,5197.69,2271.61,8144.94,6314.6,4049.06,12637.33,15894.07,9032.98,10736.73,51698.15,48644.19,13270.75,16459.82,8936.24,18536.74,15574.08,7660.87,27778.37,34289.19,26428.95,24393.1,25792.27,23178.03,45776.25,27931.59,21300,55690.09,33095,24512,31127,22195,15368,27068,48265,54440,54731,50118,43170
a) Co-operation,160.03,302.63,272.71,233.76,183.16,228.3,277.65,282.22,178.02,397.87,194.71,319.32,406.1,456.7,298.75,596.22,288.31,1217.48,1832.84,1672.7,1786.08,1884.66,1884.48,1379.96,1560.85,1645.61,1280.59,1132.62,897.27,709.99,826.5,707.91,712.94,1052.63,800.69,689.1,740.45,604,778.07,584,546,692,1141,878,1129,2263,2167,689,764,949
b) Others,571.79,-452.05,-358.85,630.16,-105.84,833.28,876.33,1362.83,-238.75,3829.06,246.02,8236.89,4791.59,1814.91,7846.19,5718.38,3760.75,11419.85,14061.23,7360.28,8950.65,49813.49,46759.71,11890.79,14898.97,7290.63,17256.15,14441.46,6763.6,27068.38,33462.69,25721.04,23680.16,24739.64,22377.34,45087.15,27191.14,20696,54912.02,32511,23966,30434,21054,14490,25939,46002,52273,54042,49353,42221
5. Agriculture & allied services,667.61,1011.52,792.52,1689.56,2237.75,2587.27,3711.53,4415.74,1841.92,4441.61,2379.08,4611.46,5137.1,4282.19,6355.63,6999.41,5542.58,7170.41,8731.19,7115.68,48866.4,9247.06,9074,10561.93,11125.06,12431.78,16977.71,12006.74,16424.37,12850.32,13641.07,12606.4,18093.12,17782.21,17341.69,19947.22,19542.77,19659,23787.08,21317,16882,38078,34254,27501,43444,40214,35895,47026,42260,56173
a) Crop husbandry,32.54,91.51,74.14,79.29,138.42,209.73,175.93,269.97,313.21,243.76,204.27,92.48,97.15,78.17,137.63,136.68,117.06,238.9,253.04,112.82,274.57,422.98,262.29,376.43,433.04,167.67,570.98,421.21,132.96,835.83,789.86,621.63,1327.69,1046.81,724.38,1067.12,1061.27,936,2283.05,2236,846,2363,2328,1396,2934,2599,1144,3233,2353,3374
b) Soil & water conservation,65.21,202.59,207.37,185.68,158.35,172.57,121.58,154.19,169.66,334.83,263.89,369.31,379.54,240.46,280.97,266.02,256.1,484.04,560.47,531.87,573.01,705.81,627.79,735.02,903.83,786.56,517.87,947.57,516.18,622.16,800.15,752.43,1059.31,1109.72,984.78,1160.21,1313.29,1136,1362.05,1489,1055,1244,2836,1357,2760,3347,2001,3058,3322,3745
c) Animal husbandry,17.87,29.87,49.64,34.09,31.04,14.27,20.26,24.65,29.81,55.38,30.61,53.62,50.53,34.56,94.67,115.36,94.75,194.63,197.13,147.75,245.12,258.88,155.99,263.62,272.83,133.31,204.7,232.91,177.1,203.2,276.78,197.35,316.11,419.03,293.18,606.08,606.9,380,737.11,643,488,838,733,616,958,918,625,1274,976,1047
d) Dairy development,15.4,17.88,28.51,20.68,22.75,13.8,5.73,10.43,10.7,15.64,8.21,14.38,15.19,11.83,12.73,12.35,11.44,16.24,18.44,15.29,18.76,14.59,20.66,23.61,36.63,1.64,11.01,9.15,2.76,13.55,20.74,4.65,8,23.52,6.56,18.01,9.94,6,33.2,28,16,37,36,47,103,87,74,151,139,93
e) Others,536.59,669.67,432.86,1369.82,1887.19,2177.39,3388.03,3956.5,1318.54,3792,1872.1,4081.67,4594.69,3917.17,5829.63,6469,5063.23,6236.6,7702.11,6307.95,47754.94,7844.8,8007.27,9163.25,9478.73,11342.6,15673.15,10395.9,15595.37,11175.58,11753.54,11030.34,15382.01,15183.13,15332.79,17095.8,16551.37,17201,19371.67,16920,14477,33596,28321,24086,36690,33263,32050,39310,35470,47913
6. Industry and minerals,1375.4,1340.99,1118.42,1380.93,1197.6,1240.31,1199.19,2151.63,1131.46,1332.18,1206.52,1775.07,2784.27,2615.93,2355.03,2149.65,2200.2,2598.14,2890.14,3488.14,3206.59,3623.91,3852.59,3007.12,4503.04,4037.07,3800.22,4428.57,4482.23,4332.59,4710.56,3660.89,5230.95,4895.65,4683.86,4767.75,4504.89,4225,6571.54,6916,6116,8155,6871,6427,6515,6226,5642,7827,7871,8719
"7. Power, irrigation & flood control",7407.42,12315.63,9703.65,13492.27,12178.8,13241.43,14627.46,15684.91,17040.39,31997.8,30084.64,29059.25,33237.72,31159.67,32760.97,38263.69,38375.83,42394.95,44960.62,44799.05,53795.75,56685.73,49001.41,63141.15,62367.01,55310.73,58919.35,63051.33,60857.55,61531.22,64122.65,59373.5,76793.5,74679.86,70057.98,82749.86,79121.86,70036,90996.78,85464,74543,97376,103897,87605,108328,128357,116837,143088,138160,153661
a) Power projects,3184.45,4669.84,2675.26,5072.11,3543.88,3306.61,6061.38,5598.1,5713.04,11541.46,13257.07,12106.85,11411.29,10164.95,8351.39,11389.86,12188.52,11693.24,11570.6,12617.48,17222.25,17426.71,15310.62,18411.76,19752.92,18176.95,16578.65,18612.93,18507.95,15788.15,17886.29,16103.97,18186.62,22342.18,21559.29,19395.11,20883.61,19638,22241.5,22136,23570,32663,36617,32641,36899,51732,47244,49121,46854,45318
b) Major & medium irrigation,2916.56,5458.61,5493.43,6938.63,6950.83,8052.41,6939.32,7725.18,9739.66,17500.63,14326.91,13027.47,18032.1,17598.63,19566.68,21657,22008.45,24830.03,26805.35,26750.35,29245.82,31813.32,28245.84,35236.61,33853.31,30232.29,31772.1,32117.52,32119.17,32390.27,33225.35,32331.53,40160.16,34469.11,33893.61,43674.53,40380.49,36092,47153.99,43586,36621,44256,42593,38691,49459,51489,50410,67787,63346,76473
c) Minor irrigation,480.32,754.07,903.76,910.72,1005.52,1157.32,950.36,1068.59,1056.22,1773.31,1595.85,2893.68,2659.53,2496.33,3240.35,3457.19,2905.7,3788.36,3990.58,3383.97,4698.73,4907.33,3511.31,5931.66,4618.78,3939.76,5620.37,5961.64,5630.96,8554.34,8254.52,6745.3,10710.02,10010.2,8315.95,12020.19,10740.69,9110,13035.03,12490,9845,12895,13292,10068,12529,14902,12187,15877,15746,17067
d) Others,826.09,1433.11,631.2,570.81,678.57,725.09,676.4,1293.04,531.47,1182.4,904.81,1031.25,1134.8,899.76,1602.55,1759.64,1273.16,2083.32,2594.09,2047.25,2628.95,2538.37,1933.64,3561.12,4142,2961.73,4948.23,6359.24,4599.47,4798.46,4756.49,4192.7,7736.7,7858.37,6289.13,7660.03,7117.07,5195,8566.26,7252,4506,7563,11394,6204,9442,10234,6996,10304,12213,14803
8. Transport & Communication,1923.18,3817.04,4580.29,5413.22,6513.24,8616.76,8505.98,8793.41,10037.41,13803.85,11726.42,15644.82,14878.57,12333.86,20913.62,22042.7,20543.61,24014.44,25431.28,25518.54,30361.88,31335.43,29696.41,34822.58,36490.43,36117.14,35510.42,40750.15,41786.56,44057.31,45430.3,46451.02,50644.03,49443.7,48783.07,63598.8,62879.28,59671,75422.77,79559,79788,94832,96310,92423,123536,121652,118048,117516,142288,160360
a) Roads and bridges,1550.36,3299.27,3789.12,4486.23,5596.27,7437.36,6711.23,7325.12,8740.04,11637.99,9737.21,13777.84,12740.51,10536.25,18347.56,19207.45,17856.8,20583.2,21854.65,22948.9,25901.36,28649.55,24815.27,30628.49,29766.7,30035.66,29882.52,32418.08,32327.92,34719.72,34596.89,38514.91,37587.31,41463.38,36449.9,47659.38,39578.51,42642,48286.04,60126,65927,69681,79139,70591,107513,97424,85283,92598,108731,123783
b) Civil aviation,3.38,29.72,10.56,10.24,24.15,39,49.29,41.3,36.26,31.99,30.2,30.7,31.49,23.23,349.12,342.38,347.49,53.39,28.85,21.9,130.22,87.8,96.47,177.28,130.47,136.53,107.18,884.18,891.94,1379.31,1289.8,1257.83,1382.75,1258.27,1226.45,4160.44,6025.99,6014,5057.32,6087,6079,6569,5837,5821,2536,3381,3382,1795,2725,1936
"c) Ports, lighthouses and shipping",61.87,60.63,99.21,119.24,209.14,186.62,239.57,152.55,117.3,148.96,119.51,238.61,140.87,98.15,207.36,168.91,156.11,461.75,348.28,319.57,586.5,395.67,371.62,478.74,358.19,350.39,480.13,405.65,439.84,549.79,447.48,435.37,635.07,455.21,396.16,656.36,422.51,427,700.54,343,307,516,286,275,530,472,423,592,353,592
d) Others,307.57,427.42,681.4,797.51,683.68,953.78,1505.89,1274.44,1143.81,1984.91,1839.5,1597.67,1965.7,1676.23,2009.58,2323.96,2183.21,2916.1,3199.5,2228.17,3743.8,2202.41,4413.05,3538.07,6235.07,5594.56,5040.59,7042.24,8126.86,7408.49,9096.13,6242.91,11038.9,6266.84,10710.56,11122.62,16852.27,10588,21378.87,13004,7474,18067,11047,15735,12957,20374,28960,22531,30480,34049
9. Public works,467.23,712.18,857.02,1049.73,834.32,1008.82,922.14,1141.5,1136.27,1731.54,1375.3,1921.54,2192.8,1644.3,2533.09,2514.51,2051.82,3095.11,2910,2701.66,3593.78,4158.3,3738.98,4905.66,5010.26,3633.71,6458.58,5631.43,5382.19,7801.64,8385.22,7421.13,8286.4,7593.17,5604.99,9430.29,10211.4,6924,12384.55,11555,8226,15097,13204,8996,15134,12723,9801,14770,15064,19461
